NAME,Median Age by Sex,Total Population,White,Black/African American,American Indian/Alaskan,Asian,Hawaiian/Pacific Islander,Some Other Race,Two or More Races,Male,Female,Never Married,Now Married,Widowed,Divorced,"12th Grade, No Diploma",High School Diploma,GED,Some College <1 Year,Some College >1 Year,Associate's Degree,Bachelor's Degree,Master's Degree,Professional School Degree,Doctorate,Median Income,Population Below Poverty Line,Disabled Population,Total Income 10k(%),Total Income 10k-15k(%),Total Income 15k-25k(%),Total Income 25k-35k(%),Total Income 35k-50(%),Total Income 50k-75k(%),Total Income 75k-100k(%),Total Income 100k-150k(%),Total Income 150k-200k(%),Total Income >200k(%),Income Category,Poverty Rate (%),Poverty Rate Classification,Total Degrees,Degree Percentage (%),Degree Attainment,POC Population (%),POC Population Category,White Population (%),Black/African American Population (%),Asian Population (%),Hawaiian/Pacific Islander Population (%),American Indian/Alaskan Population (%),Some Other Race Population (%),Two or More Races Population (%),Disabled Population (%),Disabled Population Category,state,county
"Colbert County, Alabama",42,57270,44698,9185,178,214,53,1395,1547,27911,29359,30930,18365,3632,6992,886,12633,2327,2473,7026,3447,4578,1821,559,410,56149,8998,9850,7.1,5.8,9.8,9.3,14.1,17.8,13.4,14.3,4.8,3.7,Medium,15.71154181945172,Low Poverty,7368,12.865374541644838,Low Degree Attainment,21.85961236249345,High,78.04784354810546,16.03806530469705,0.3736685873930505,0.092544089,0.3108084511960887,2.435830277632268,2.7012397415749954,17.19923170944648,Medium,1,33
"Conecuh County, Alabama",46.2,11576,5751,5611,33,36,0,24,121,5639,5937,6715,3972,1248,937,165,3660,386,695,961,678,642,316,40,118,39888,2122,2411,8.7,8.3,12.1,12.6,18.7,15.5,8.2,11.9,1.1,3,Low,18.33102971665515,Low Poverty,1116,9.640635798203178,Low Degree Attainment,50.31962681409814,High,49.680373185901864,48.47097442985488,0.31098825155494125,0,0.2850725639253628,0.2073255010366275,1.0452660677263304,20.82757429163787,Medium,1,35
"Coosa County, Alabama",50.2,10329,6859,3120,9,0,0,75,266,5306,5023,5935,3361,792,1127,225,2713,621,595,1186,749,578,195,61,22,52279,1102,2537,2.1,5.7,11.3,10.8,17.2,19,12.5,15.7,3.6,2.2,Medium,10.668990221705876,Low Poverty,856,8.287346306515635,Low Degree Attainment,33.59473327524446,High,66.40526672475553,30.20621550972989,0,0,0.087133314,0.7261109497531223,2.5752735017910737,24.561913060315614,Medium,1,37
"Covington County, Alabama",42.9,37542,31404,4606,117,218,0,293,904,18243,19299,20436,11287,3052,4588,368,8043,1550,1904,3744,3126,2585,1280,313,135,48772,6921,7690,7.3,9.1,11.1,9.8,13.4,16.4,11.6,12.5,4.1,4.6,Low,18.43535240530606,Low Poverty,4313,11.488466251132065,Low Degree Attainment,16.349688349049067,Medium,83.65031165095094,12.26892547014011,0.5806829684087156,0,0.3116509509349529,0.7804592190080444,2.4079697405572427,20.48372489478451,Medium,1,39
"Crenshaw County, Alabama",42.3,13205,9386,3059,10,154,6,142,448,6451,6754,7355,3820,902,1420,184,3459,426,421,899,730,1092,405,61,15,48557,1916,2184,9.3,8.6,11.2,9.4,13.2,15.3,13.5,10.3,5,4.3,Low,14.50965543,Low Poverty,1573,11.912154486936766,Low Degree Attainment,28.875425975009467,High,71.07913669064749,23.16546762589928,1.1662249148049981,0.045437334343051874,0.075728891,1.0753502461188942,3.392654298,16.53918970087088,Medium,1,41
"Cullman County, Alabama",41.4,88284,81077,960,355,278,27,1460,4127,43820,44464,46617,26767,5224,9856,1007,15417,3880,4649,9840,7012,7463,3105,491,197,58119,11364,15874,5,4.9,10.1,9.8,13.7,18.6,13.7,13.8,6,4.5,Medium,12.872094603778713,Low Poverty,11256,12.749762131303521,Low Degree Attainment,8.132844003443433,Low,91.83657287843778,1.0873997553350552,0.31489284581577637,0.030583118118798422,0.40211136785827556,1.6537537945720628,4.674686239862263,17.980608037696523,Medium,1,43
"Dale County, Alabama",37.7,49455,34817,10416,476,611,17,1176,1942,24461,24994,26800,14587,3146,5814,847,8152,2402,3135,5309,3404,4360,1654,279,162,52813,8469,9763,6.8,5.5,12.6,9.2,13.7,17.5,13.9,13.1,5,2.7,Medium,17.124658780709737,Low Poverty,6455,13.05226974016783,Low Degree Attainment,29.564250328581537,High,70.40137498736226,21.061571125265395,1.235466585785057,0.034374684,0.9624911535739562,2.377919321,3.926802143362653,19.741178849459104,Medium,1,45
"Dallas County, Alabama",40.4,38326,10634,26467,208,240,0,16,761,17895,20431,23204,12030,3071,3892,602,9086,1218,1474,3559,2752,2633,1239,92,114,37180,10230,7522,11,9.6,15.8,12.2,13.8,15.7,7.7,8.6,3.5,2.1,Low,26.692062829410844,High Poverty,4078,10.640296404529561,Low Degree Attainment,72.25382247038564,High,27.746177529614364,69.05755884,0.6262067525961489,0,0.5427125189166623,0.041747116839743255,1.9855972446902885,19.626363304284297,Medium,1,47
"DeKalb County, Alabama",39.6,71680,59102,1043,1098,72,413,6443,3509,35847,35833,37144,23031,4196,6606,744,12391,2984,3305,6685,5397,3996,2248,435,167,47920,14251,10879,5.9,7.3,12.1,12,14.2,18.1,12.2,11.8,3.5,2.7,Low,19.881417410714285,Low Poverty,6846,9.55078125,Low Degree Attainment,16.971261160714285,Medium,82.45256696428571,1.455078125,0.10044642857142856,0.576171875,1.5318080357142856,8.988560267857142,4.895368303571428,15.177176339285714,Medium,1,49
"Elmore County, Alabama",38.9,87694,64769,18276,248,602,0,677,3122,42743,44951,49209,27448,4940,8455,919,16903,3737,3158,9472,6035,9637,3846,670,596,73258,7986,12619,3.4,2.4,7.4,8.4,11.9,17.7,16.8,18.2,7.7,6,High,9.106666362578968,Low Poverty,14749,16.818710516112848,Medium Degree Attainment,26.14203936415262,High,73.85796063584738,20.84065044358793,0.68647798,0,0.2828015599698953,0.7720026455629804,3.560106734782311,14.389810021210117,Low,1,51
"Escambia County, Alabama",40.5,36755,22762,11138,1124,90,0,227,1414,18476,18279,20783,10780,2598,4295,325,9513,1780,1161,3136,2159,2168,832,139,58,41153,7449,6965,10.2,7.9,12.3,13.4,14.7,16.5,10.4,8.2,4,2.3,Low,20.26663039042307,High Poverty,3197,8.698136307985308,Low Degree Attainment,38.07101074683716,High,61.92898925316284,30.303360087062988,0.24486464426608626,0,3.0580873350564546,0.6176030472044619,3.8470956332471773,18.94980274792545,Medium,1,53
"Etowah County, Alabama",41.9,103348,80555,15724,329,748,2,2404,3586,50134,53214,57471,31887,7225,12232,1539,18921,5383,5769,11809,7854,7840,3418,1140,487,52177,16146,17786,5.9,6,11.7,10.2,14.4,18.9,11.4,13.1,5.3,3.1,Medium,15.622943840229128,Low Poverty,12885,12.46758524596509,Low Degree Attainment,22.052676394318226,High,77.94538839648565,15.214614699849054,0.7237682393466733,0.001935209,0.3183419127607694,2.326121453729148,3.4698300886325812,17.209815381042688,Medium,1,55
"Fayette County, Alabama",43.7,16297,13727,2074,24,36,40,28,368,7997,8300,8592,5275,1318,1770,155,3425,1126,1005,1633,895,943,284,210,49,45650,3543,3782,6.8,9.7,11.9,13.5,10.6,14.6,12.4,14.1,2.8,3.8,Low,21.740197582377125,High Poverty,1486,9.118242621,Low Degree Attainment,15.524329631220471,Medium,84.23022642204087,12.726268638399704,0.2208995520647972,0.24544394673866354,0.14726636804319812,0.17181076271706447,2.2580843099957044,23.20672516414064,Medium,1,57
"Franklin County, Alabama",39.3,32011,24853,1360,134,35,14,4210,1405,16071,15940,17066,9415,2099,3154,375,7551,1020,1565,2294,1506,2204,777,137,48,47359,5246,5400,5.8,7.4,12.5,12.2,13.6,16.7,13.7,10.6,5.5,2,Low,16.38811658492393,Low Poverty,3166,9.890350192121458,Low Degree Attainment,22.31732841835619,High,77.63893661553841,4.248539564524695,0.10933741526350316,0.043734966,0.41860610415169786,13.15172909312424,4.389116241292055,16.869201212083347,Medium,1,59
"Geneva County, Alabama",43.6,26647,22360,2472,71,143,6,636,959,13037,13610,13875,8202,1842,3259,409,5579,1381,1367,2770,2093,1842,743,21,35,47608,5480,6293,4.9,7.3,12.4,12.7,14.1,18.5,11.7,12.2,3.8,2.5,Low,20.56516681052276,High Poverty,2641,9.911059406312155,Low Degree Attainment,16.065598378804367,Medium,83.91188502,9.276841670732166,0.5366457762599917,0.022516606,0.26644650429691896,2.3867602356738096,3.598904191841483,23.61616692310579,Medium,1,61
"Greene County, Alabama",41.1,7706,1333,6305,7,0,0,12,49,3707,3999,4742,2499,584,761,154,1808,215,119,993,416,579,242,75,15,32796,2504,2149,6.3,16.7,13.1,21.7,7.3,15.3,10.1,5.4,1.3,2.9,Low,32.49416039,High Poverty,911,11.821956916688295,Low Degree Attainment,82.70179081235402,High,17.29820918764599,81.81936154,0,0,0.090838308,0.15572281339216196,0.6358681546846613,27.8873605,High,1,63
"Hale County, Alabama",40.5,14742,5663,8373,42,9,0,11,644,7020,7722,8604,4662,913,1230,333,3275,493,397,1351,891,1079,411,19,125,35851,3613,3624,9.3,12.5,17.7,10,9.4,13,11.9,10.1,2.8,3.2,Low,24.508207841541175,High Poverty,1634,11.083977750644419,Low Degree Attainment,61.585944919278255,High,38.414055080721745,56.796906796906796,0.061050061,0,0.2849002849002849,0.074616741,4.368471035137702,24.582824582824582,Medium,1,65
"Henry County, Alabama",44.6,17282,12194,4375,60,96,8,74,475,8303,8979,9551,5421,1282,1697,334,3269,852,726,1617,1144,1758,759,71,45,58395,2608,3500,8.3,4.4,12.8,11,8.7,16,12.7,17.3,5.5,3.3,Medium,15.090845966901977,Low Poverty,2633,15.235505149866913,Medium Degree Attainment,29.394745978474713,High,70.55896308,25.31535701886356,0.555491263,0.046290939,0.34718203911584306,0.4281911815762065,2.7485244763337575,20.252285615090845,Medium,1,67
"Houston County, Alabama",40.4,107040,71260,29166,309,987,39,967,4312,51565,55475,59073,34057,6748,11784,1712,19379,4296,5203,12151,7181,10616,4321,1154,528,55064,18878,17753,6.7,5.8,10.2,9.4,13.9,16.3,12.5,13.4,6.3,5.5,Medium,17.63639761,Low Poverty,16619,15.52597159940209,Medium Degree Attainment,33.39032137518684,High,66.57324364723468,27.24775784753363,0.9220852017937219,0.036434978,0.2886771300448431,0.9034005979073244,4.028400597907324,16.585388639760836,Medium,1,69
"Jackson County, Alabama",43,52618,47208,1731,397,213,17,948,2104,25883,26735,28109,16534,3769,6233,747,11399,2745,2427,4835,3499,3874,1843,228,178,46748,9680,11283,5.6,7,12.8,12.5,15.3,15.4,11.7,12.1,4.1,3.5,Low,18.396746360561025,Low Poverty,6123,11.63670226918545,Low Degree Attainment,10.249344330837356,Medium,89.71834733361207,3.2897487551788362,0.4048044395454027,0.032308336,0.7544946596221824,1.8016648295260178,3.998631646964917,21.44323235394732,Medium,1,71
"Jefferson County, Alabama",37.9,672265,338374,287203,1225,11712,167,13328,20256,319713,352552,386229,221850,36790,69391,8502,103400,15959,27733,69314,37364,96805,41229,16093,8545,63595,103894,99337,6.6,5,8.6,8.4,11.9,16.7,12.1,14.1,7.3,9.3,Medium,15.454322328248532,Low Poverty,162672,24.19760064855377,Medium Degree Attainment,49.64173354257622,High,50.333425063033175,42.72169456984969,1.7421701263638596,0.024841394,0.18221980915264072,1.982551523580731,3.0130975136292983,14.776464638200709,Low,1,73
"Lamar County, Alabama",44.2,13885,11913,1527,49,23,0,94,279,6930,6955,7347,4211,1262,1364,153,3227,816,868,1165,1031,606,335,40,32,49565,2107,3068,5.6,7.5,13.2,9.6,14.6,19.8,8.3,16,3.7,1.8,Low,15.174648901692475,Low Poverty,1013,7.295642779978394,Low Degree Attainment,14.202376665466332,Medium,85.79762333453367,10.997479294202376,0.16564638098667628,0,0.35289881166726683,0.6769895570759812,2.0093626215340294,22.095786820309687,Medium,1,75
"Lauderdale County, Alabama",40.8,94329,79592,9317,315,576,64,697,3768,45493,48836,53420,32053,6418,9507,1047,19075,3432,4183,8735,5226,10372,4629,808,865,56081,12188,14229,6.1,5.1,10.9,8.6,14.2,17.1,14.2,12.1,7.6,4,Medium,12.920734874746898,Low Poverty,16674,17.67643036605922,Medium Degree Attainment,15.55513150780778,Medium,84.37702085,9.877132165081788,0.6106287567980154,0.06784764,0.3339376013739147,0.7389032005003763,3.9945297840536846,15.084438507775976,Medium,1,77
"Lawrence County, Alabama",42.7,33116,25421,3371,1669,97,17,464,2077,16299,16817,17584,10444,2304,2996,416,8063,1597,1278,3062,1703,2364,1205,82,54,54786,5182,7046,5.8,5.3,9.9,10,13.7,20,13.6,12.1,3.9,5.6,Medium,15.648025123807225,Low Poverty,3705,11.187945404034304,Low Degree Attainment,23.185167290735595,High,76.76349800700568,10.179369489068728,0.29290977171155935,0.051334702258726904,5.039859886459717,1.4011354028264282,6.271892740669164,21.276724242058222,Medium,1,79
"Lee County, Alabama",33,175126,120255,39363,270,7614,49,1894,5681,86692,88434,104073,62192,5957,12518,1680,18919,4355,6200,15828,9899,23707,13363,2439,3499,59288,31003,22985,11.6,4.8,9,7.3,11.2,14.6,11.7,15.8,6.7,7.3,Medium,17.703253657366698,Low Poverty,43008,24.558318011032057,Medium Degree Attainment,31.304318033872754,High,68.66770211162249,22.47695944634149,4.347726779575848,0.027979855,0.15417470849559745,1.0815070292246725,3.243950070235145,13.124835832486323,Low,1,81
"Limestone County, Alabama",40.2,104199,80040,13714,880,1917,106,2571,4971,52385,51814,55075,33396,5174,10709,1153,16524,3796,4888,10398,6624,13776,6347,793,661,80146,11287,14517,3.3,3.9,7.3,6.4,9.2,17.1,14.6,17.9,10.8,9.4,High,10.832157698250464,Low Poverty,21577,20.70749239436079,Medium Degree Attainment,23.08371481492145,High,76.81455676158122,13.161354715496309,1.8397489419284252,0.10172842349734643,0.8445378554496684,2.4673941208648835,4.770679181182161,13.931995508594133,Low,1,83
"Lowndes County, Alabama",41.7,10153,2493,7603,0,0,0,0,57,4842,5311,6247,3282,617,1098,219,2670,255,237,840,712,739,316,53,40,33125,2552,2239,9.6,15,13.5,13.7,10.4,12.5,10,8.9,3.6,2.6,Low,25.13542795232936,High Poverty,1148,11.307002856298631,Low Degree Attainment,75.44568107948389,High,24.554318920516106,74.88427065891855,0,0,0,0,0.5614104205653501,22.052595292031913,Medium,1,85
"Macon County, Alabama",37.8,19198,3133,15142,7,78,0,49,789,8865,10333,13048,7160,1156,1594,481,3049,714,567,2169,886,1275,786,298,83,41206,4127,3486,12.2,6.8,13.4,11.3,14,15.8,11.1,9.6,3.2,2.6,Low,21.49703094072299,High Poverty,2442,12.720075007813314,Low Degree Attainment,83.68059172830503,High,16.319408271694968,78.87279924992187,0.4062923221168872,0,0.036462131472028335,0.25523492030419836,4.109803104490051,18.15814147307011,Medium,1,87
"Madison County, Alabama",38.5,389781,254819,95400,2008,9675,255,6988,20636,191913,197868,217986,131619,17575,35402,3983,41153,9720,15291,39446,20395,71617,38510,4626,5763,78058,40440,51977,4.8,3.2,6.9,7.5,10.3,15.6,12.5,17,10.1,12.1,High,10.375056762643638,Low Poverty,120516,30.918900613421386,High Degree Attainment,34.55966299024324,High,65.37491565776679,24.47528227389226,2.4821630607956777,0.065421352,0.5151610776307721,1.7928015988465318,5.294254979077995,13.334923970126814,Low,1,89
"Marengo County, Alabama",41.7,19180,8705,9750,64,151,0,141,369,9100,10080,11025,6049,1567,1884,215,4022,611,997,1843,1254,1654,1082,83,35,42975,4063,4284,9.1,10.1,16.1,7.5,11.6,16.3,10.2,10.5,4.6,4,Low,21.18352450469239,High Poverty,2854,14.880083420229406,Low Degree Attainment,54.614181438998955,High,45.38581856100104,50.83420229405631,0.7872784150156412,0,0.33368091762252344,0.735140772,1.9238790406673618,22.335766423357665,Medium,1,91
"Marion County, Alabama",44,29203,26673,1113,93,85,8,470,761,14510,14693,15803,8527,2295,3676,419,6015,1361,1642,2867,2413,1476,789,66,128,49743,4707,7370,4.9,9.4,15.2,8.2,12.6,17.3,15.5,11.8,2.4,2.7,Low,16.118207033523955,Low Poverty,2459,8.420367770434545,Low Degree Attainment,8.636099031,Low,91.33650652330239,3.8112522686025407,0.29106598637126324,0.027394446,0.3184604321473821,1.6094236893469849,2.6058966544533093,25.237133171249532,High,1,93
"Marshall County, Alabama",38.8,97923,83991,2746,877,600,78,4197,5434,48686,49237,50628,29624,6052,9764,1057,16482,4255,4354,8751,7069,9437,3371,669,446,58272,15992,13642,5.8,5.3,10.3,9.4,12.5,18.1,13.5,13.6,6,5.6,Medium,16.33119900329851,Low Poverty,13923,14.218314389877762,Low Degree Attainment,14.147850862412303,Medium,85.77249471523544,2.804244151016615,0.6127263257865875,0.079654422,0.8956016461913953,4.286020648877179,5.549258090540526,13.931354227301043,Low,1,95
"Mobile County, Alabama",38.2,413878,234657,150071,1625,8383,95,5107,13940,198642,215236,234966,132330,23162,40993,5550,81360,14205,15328,43463,24551,43806,17851,3791,2303,55352,71353,56536,6.8,5.9,10.4,9.1,13.8,17.5,11.6,14,6,5,Medium,17.24010457187867,Low Poverty,67751,16.36979979607517,Medium Degree Attainment,43.27990373974939,High,56.697142636235796,36.25971904764206,2.025476106485486,0.022953624014806297,0.392627779,1.2339385036170079,3.3681423028042077,13.660064076853565,Low,1,97
"Monroe County, Alabama",43.7,19816,10645,8384,260,47,13,31,436,9758,10058,11494,6235,1721,1979,342,5465,570,399,1996,1190,1072,647,91,42,39965,4472,3207,9.2,8.3,16.4,12.6,10.2,15.8,11.6,9.7,3.9,2.4,Low,22.567622123536534,High Poverty,1852,9.345983044004845,Low Degree Attainment,46.215179652805816,High,53.719216794509485,42.30924505450142,0.2371820750908357,0.065603553,1.3120710536939846,0.1564392410173597,2.2002422285022205,16.18389180460234,Medium,1,99
"Montgomery County, Alabama",36.9,228132,74723,134763,333,7604,8,3126,7575,107680,120452,134594,74961,11489,23598,2773,31849,6967,8015,23881,11506,29456,15534,3659,2353,56707,42877,36558,7.8,5.9,9.3,9,12.9,17.9,11.6,14.3,5.8,5.4,Medium,18.794820542492943,Low Poverty,51002,22.356355092665652,Medium Degree Attainment,67.24221064997458,High,32.75428260831448,59.07237914891379,3.333157996247786,0.003506742,0.14596812371784756,1.370259323549524,3.3204460575456314,16.024932933564777,Medium,1,101
"Morgan County, Alabama",40.6,123102,94056,16631,471,605,31,5058,6250,60953,62149,65255,40079,7358,11899,1499,21195,4939,5893,12464,7608,13494,4990,1074,682,61588,16579,20182,4.7,4.5,9.5,10.8,11.5,17.3,12.1,15.8,7.8,6,Medium,13.467693457458044,Low Poverty,20240,16.441650013809685,Medium Degree Attainment,23.569885135903558,High,76.40493249500415,13.509934850774155,0.49146236454322434,0.025182369092297447,0.38260954330555147,4.108787834478725,5.077090542801904,16.394534613572485,Medium,1,103
"Perry County, Alabama",41.8,8479,2411,6004,1,7,0,8,48,3912,4567,5379,2896,872,660,157,2012,268,184,672,284,537,192,20,60,32332,2478,2092,5.4,12.7,18.1,16.2,23.6,12.1,5.3,4.9,1.8,0,Low,29.22514447458427,High Poverty,809,9.541219483,Low Degree Attainment,71.56504304752919,High,28.43495695247081,70.81023705625663,0.082556905,0,0.011793843613633684,0.094350749,0.5661044934544168,24.672720839721666,Medium,1,105
