"","Age_Category","Marriage_Category","POC Population Category","Poverty Rate Classification","Disabled Population Category"
"140","Mature Adult","Median Marriages","Low","Low Poverty","Medium"
"141","Mature Adult","Low Marriages","High","High Poverty","Medium"
"142","Mature Adult","Median Marriages","Medium","Low Poverty","Medium"
"143","Mature Adult","Few Marriages","High","Low Poverty","Medium"
"144","Mature Adult","Median Marriages","Medium","Low Poverty","Medium"
"145","Older Adult","Few Marriages","Medium","Low Poverty","Medium"
"146","Mature Adult","Few Marriages","High","Low Poverty","Medium"
"147","Mature Adult","Many Marriages","High","Low Poverty","Medium"
"148","Mature Adult","Low Marriages","Medium","High Poverty","Medium"
"149","Older Adult","No Marriages","High","High Poverty","Medium"
"150","Mature Adult","Few Marriages","Low","Low Poverty","Medium"
"151","Mature Adult","Few Marriages","High","High Poverty","Medium"
"152","Mature Adult","Few Marriages","High","Low Poverty","Low"
"153","Mature Adult","Few Marriages","High","Low Poverty","Medium"
"154","Mature Adult","Low Marriages","Medium","Low Poverty","Medium"
"155","Mature Adult","Many Marriages","Medium","Low Poverty","Medium"
"156","Mature Adult","Few Marriages","Medium","Low Poverty","Medium"
"157","Older Adult","Few Marriages","Low","Low Poverty","Medium"
"158","Mature Adult","Median Marriages","High","Low Poverty","Medium"
"159","Mature Adult","Median Marriages","High","High Poverty","Medium"
"160","Older Adult","Few Marriages","High","High Poverty","Medium"
"161","Older Adult","Few Marriages","Low","Low Poverty","High"
"162","Mature Adult","Few Marriages","High","High Poverty","Medium"
"163","Older Adult","Few Marriages","Low","Low Poverty","Medium"
"164","Mature Adult","Low Marriages","High","Low Poverty","High"
"165","Mature Adult","Few Marriages","Low","Low Poverty","Medium"
"166","Mature Adult","Few Marriages","High","High Poverty","Medium"
"167","Mature Adult","Few Marriages","Medium","Low Poverty","Medium"
"168","Mature Adult","Low Marriages","Medium","High Poverty","Medium"
"169","Mature Adult","Few Marriages","Low","Low Poverty","Medium"
"170","Mature Adult","Many Marriages","Medium","Low Poverty","Medium"
"171","Older Adult","Few Marriages","Medium","Low Poverty","Medium"
"172","Mature Adult","High Marriages","High","Low Poverty","Medium"
"173","Mature Adult","Few Marriages","Low","Low Poverty","Medium"
"174","Mature Adult","Low Marriages","High","High Poverty","Medium"
"175","Mature Adult","Many Marriages","Medium","Low Poverty","Medium"
"176","Mature Adult","Few Marriages","Medium","Low Poverty","Medium"
"177","Older Adult","Few Marriages","Medium","High Poverty","High"
"178","Mature Adult","Many Marriages","High","Low Poverty","Medium"
"179","Adult","Few Marriages","High","Low Poverty","Low"
"180","Older Adult","Few Marriages","Low","Low Poverty","Medium"
"181","Older Adult","Few Marriages","Low","High Poverty","High"
"182","Mature Adult","Median Marriages","High","Low Poverty","Medium"
"183","Older Adult","Few Marriages","Low","Low Poverty","High"
"184","Adult","Many Marriages","High","Low Poverty","Low"
"185","Mature Adult","Many Marriages","Medium","Low Poverty","Medium"
"186","Older Adult","Few Marriages","High","Low Poverty","Medium"
"187","Mature Adult","Low Marriages","High","Low Poverty","Medium"
"188","Mature Adult","High Marriages","High","Low Poverty","Low"
"189","Mature Adult","No Marriages","High","Low Poverty","Low"
"190","Older Adult","Median Marriages","Medium","Low Poverty","Medium"
"191","Mature Adult","Many Marriages","High","Low Poverty","Medium"
"192","Older Adult","Median Marriages","Medium","Low Poverty","Medium"
"193","Mature Adult","Low Marriages","High","Low Poverty","Low"
"194","Mature Adult","High Marriages","High","Low Poverty","Low"
"195","Mature Adult","Low Marriages","High","Low Poverty","Medium"
"196","Older Adult","Many Marriages","Medium","Low Poverty","Low"
"197","Adult","High Marriages","High","Low Poverty","Low"
"198","Mature Adult","Median Marriages","High","Low Poverty","Low"
"199","Mature Adult","Many Marriages","High","Low Poverty","Medium"
"200","Adult","Many Marriages","High","High Poverty","Low"
"201","Mature Adult","Few Marriages","High","Low Poverty","Medium"
"202","Adult","High Marriages","High","Low Poverty","Low"
"203","Adult","Many Marriages","High","Low Poverty","Low"
"204","Mature Adult","Many Marriages","High","Low Poverty","Medium"
"205","Mature Adult","Median Marriages","High","Low Poverty","Low"
"206","Mature Adult","High Marriages","High","Low Poverty","Low"
"207","Adult","Many Marriages","High","Low Poverty","Low"
"208","Older Adult","Many Marriages","High","Low Poverty","Low"
"209","Older Adult","Few Marriages","Medium","Low Poverty","Medium"
"210","Mature Adult","Many Marriages","High","Low Poverty","Medium"
"211","Adult","Many Marriages","High","Low Poverty","Low"
"212","Older Adult","Few Marriages","Medium","Low Poverty","Medium"
"213","Mature Adult","Few Marriages","High","Low Poverty","Low"
"214","Mature Adult","High Marriages","High","Low Poverty","Low"
"215","Mature Adult","Many Marriages","High","Low Poverty","Low"
"216","Older Adult","Many Marriages","Medium","Low Poverty","Low"
"217","Mature Adult","High Marriages","High","Low Poverty","Low"
"218","Mature Adult","High Marriages","High","Low Poverty","Low"
"219","Older Adult","Low Marriages","Medium","Low Poverty","Medium"
"220","Mature Adult","High Marriages","High","Low Poverty","Low"
"221","Mature Adult","High Marriages","High","Low Poverty","Low"
"222","Mature Adult","Many Marriages","High","Low Poverty","Low"
"223","Adult","High Marriages","High","Low Poverty","Low"
"224","Mature Adult","High Marriages","High","Low Poverty","Low"
"225","Mature Adult","High Marriages","High","Low Poverty","Low"
"226","Adult","High Marriages","High","Low Poverty","Low"
"227","Mature Adult","Many Marriages","High","Low Poverty","Low"
"228","Mature Adult","High Marriages","High","Low Poverty","Low"
"229","Adult","High Marriages","High","Low Poverty","Low"
"230","Mature Adult","High Marriages","High","Low Poverty","Low"
"231","Mature Adult","Many Marriages","High","Low Poverty","Low"
"232","Mature Adult","Many Marriages","Medium","Low Poverty","Medium"
"233","Older Adult","No Marriages","Medium","Low Poverty","Low"
"234","Older Adult","Median Marriages","Medium","Low Poverty","Medium"
"235","Mature Adult","High Marriages","High","Low Poverty","Low"
"236","Mature Adult","High Marriages","High","Low Poverty","Low"
"237","Adult","High Marriages","High","Low Poverty","Low"
"238","Mature Adult","Many Marriages","High","Low Poverty","Low"
"239","Mature Adult","Median Marriages","High","Low Poverty","Medium"
"240","Older Adult","Few Marriages","Medium","High Poverty","Medium"
"241","Adult","High Marriages","High","Low Poverty","Low"
"242","Older Adult","Median Marriages","Medium","Low Poverty","Medium"
"243","Mature Adult","High Marriages","High","Low Poverty","Low"
"244","Adult","Many Marriages","High","Low Poverty","Low"
"245","Adult","Many Marriages","High","Low Poverty","Medium"
"246","Adult","High Marriages","High","Low Poverty","Low"
"247","Adult","Few Marriages","High","Low Poverty","Medium"
"248","Mature Adult","High Marriages","High","Low Poverty","Low"
"249","Older Adult","Few Marriages","High","Low Poverty","Medium"
"250","Mature Adult","No Marriages","Low","High Poverty","Medium"
"251","Mature Adult","No Marriages","High","High Poverty","Medium"
"252","Mature Adult","High Marriages","Medium","Low Poverty","Low"
"253","Mature Adult","Many Marriages","Medium","Low Poverty","Low"
"254","Older Adult","Low Marriages","Low","Low Poverty","Low"
"255","Mature Adult","No Marriages","Medium","Low Poverty","Low"
"256","Older Adult","Few Marriages","Low","Low Poverty","Low"
"257","Mature Adult","Few Marriages","High","Low Poverty","Medium"
"258","Older Adult","No Marriages","High","High Poverty","High"
"259","Mature Adult","No Marriages","High","Low Poverty","Medium"
"260","Senior","No Marriages","Low","Low Poverty","Low"
"261","Older Adult","Median Marriages","Medium","Low Poverty","Medium"
"262","Adult","High Marriages","High","Low Poverty","Low"
"263","Senior","No Marriages","Medium","Low Poverty","Low"
"264","Mature Adult","High Marriages","Medium","Low Poverty","Low"
"265","Mature Adult","Median Marriages","High","Low Poverty","Low"
"266","Older Adult","Median Marriages","Medium","Low Poverty","Low"
"267","Adult","High Marriages","High","Low Poverty","Low"
"268","Mature Adult","Median Marriages","Medium","Low Poverty","Medium"
"269","Mature Adult","Many Marriages","High","Low Poverty","Low"
"270","Older Adult","No Marriages","Medium","Low Poverty","Low"
"271","Mature Adult","Few Marriages","Medium","Low Poverty","Low"
"272","Mature Adult","Low Marriages","Low","Low Poverty","Low"
"273","Senior","No Marriages","Low","Low Poverty","Medium"
"274","Senior","Few Marriages","Medium","High Poverty","Medium"
"275","Older Adult","No Marriages","Low","High Poverty","Low"
"276","Mature Adult","High Marriages","Medium","Low Poverty","Low"
"277","Mature Adult","No Marriages","Low","Low Poverty","Low"
"278","Mature Adult","Few Marriages","Medium","Low Poverty","Medium"
"279","Mature Adult","Few Marriages","High","Low Poverty","Low"
"280","Mature Adult","Median Marriages","Medium","Low Poverty","Low"
"281","Mature Adult","High Marriages","Medium","Low Poverty","Low"
"282","Older Adult","Few Marriages","High","Low Poverty","Medium"
"283","Mature Adult","Few Marriages","Medium","Low Poverty","Low"
"284","Mature Adult","Low Marriages","Medium","Low Poverty","Low"
"285","Mature Adult","Many Marriages","Medium","Low Poverty","Medium"
"286","Older Adult","No Marriages","Low","Low Poverty","Low"
"287","Mature Adult","Few Marriages","Medium","Low Poverty","Low"
"288","Mature Adult","Median Marriages","High","Low Poverty","Low"
"289","Older Adult","Median Marriages","Medium","Low Poverty","Low"
"290","Mature Adult","Median Marriages","High","Low Poverty","Low"
"291","Mature Adult","Few Marriages","High","High Poverty","Medium"
"292","Senior","No Marriages","Low","Low Poverty","Medium"
"293","Older Adult","Low Marriages","Low","Low Poverty","Low"
"294","Mature Adult","No Marriages","Medium","Low Poverty","Low"
"295","Older Adult","Few Marriages","Medium","Low Poverty","Low"
"296","Mature Adult","Few Marriages","High","Low Poverty","Medium"
"297","Mature Adult","Many Marriages","High","Low Poverty","Medium"
"298","Mature Adult","No Marriages","Medium","Low Poverty","Medium"
"299","Mature Adult","Few Marriages","High","Low Poverty","Medium"
"300","Mature Adult","Median Marriages","Medium","Low Poverty","Low"
"301","Older Adult","No Marriages","Medium","Low Poverty","Medium"
"302","Older Adult","No Marriages","Medium","Low Poverty","Low"
"303","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"304","Mature Adult","No Marriages","Medium","Low Poverty","Medium"
"305","Mature Adult","Median Marriages","Medium","Low Poverty","Low"
"306","Older Adult","Median Marriages","Medium","Low Poverty","Low"
"307","Mature Adult","No Marriages","Low","Low Poverty","Low"
"308","Mature Adult","High Marriages","Medium","Low Poverty","Low"
"309","Mature Adult","Few Marriages","Medium","Low Poverty","Low"
"310","Mature Adult","High Marriages","High","Low Poverty","Low"
"311","Mature Adult","High Marriages","High","Low Poverty","Low"
"312","Older Adult","Many Marriages","Medium","Low Poverty","Low"
"313","Mature Adult","High Marriages","High","Low Poverty","Low"
"314","Mature Adult","Many Marriages","Medium","Low Poverty","Low"
"315","Older Adult","Many Marriages","Medium","Low Poverty","Low"
"316","Mature Adult","High Marriages","High","Low Poverty","Low"
"317","Mature Adult","Many Marriages","High","Low Poverty","Low"
"318","Mature Adult","High Marriages","High","Low Poverty","Low"
"319","Mature Adult","Many Marriages","High","Low Poverty","Medium"
"320","Mature Adult","High Marriages","High","Low Poverty","Low"
"321","Older Adult","Many Marriages","High","Low Poverty","Low"
"322","Adult","High Marriages","High","Low Poverty","Low"
"323","Adult","High Marriages","High","Low Poverty","Low"
"324","Mature Adult","Median Marriages","High","Low Poverty","Low"
"325","Mature Adult","Many Marriages","High","Low Poverty","Medium"
"326","Mature Adult","Low Marriages","High","Low Poverty","Medium"
"327","Older Adult","High Marriages","High","Low Poverty","Medium"
"328","Mature Adult","High Marriages","High","Low Poverty","Low"
"329","Mature Adult","Few Marriages","High","Low Poverty","Medium"
"330","Senior","Many Marriages","Medium","Low Poverty","Medium"
"331","Senior","Many Marriages","Medium","Low Poverty","Medium"
"332","Mature Adult","Many Marriages","High","Low Poverty","Low"
"333","Older Adult","High Marriages","High","Low Poverty","Low"
"334","Mature Adult","Many Marriages","High","Low Poverty","Medium"
"335","Mature Adult","Median Marriages","High","High Poverty","Medium"
"336","Older Adult","Few Marriages","Medium","Low Poverty","Medium"
"337","Mature Adult","High Marriages","High","Low Poverty","Low"
"338","Mature Adult","High Marriages","High","Low Poverty","Medium"
"339","Older Adult","Many Marriages","High","Low Poverty","Medium"
"340","Older Adult","Few Marriages","High","Low Poverty","Medium"
"341","Mature Adult","Median Marriages","High","High Poverty","Medium"
"342","Mature Adult","Few Marriages","Low","Low Poverty","Medium"
"343","Older Adult","Few Marriages","High","Low Poverty","Medium"
"344","Older Adult","Few Marriages","High","Low Poverty","Medium"
"345","Mature Adult","Few Marriages","High","High Poverty","Medium"
"346","Mature Adult","Low Marriages","High","High Poverty","Low"
"347","Mature Adult","Median Marriages","High","High Poverty","Low"
"348","Older Adult","Many Marriages","Medium","Low Poverty","Medium"
"349","Older Adult","Many Marriages","High","Low Poverty","Medium"
"350","Mature Adult","High Marriages","High","Low Poverty","Low"
"351","Mature Adult","Few Marriages","Medium","Low Poverty","Medium"
"352","Older Adult","Many Marriages","High","Low Poverty","Medium"
"353","Mature Adult","Median Marriages","High","Low Poverty","Medium"
"354","Older Adult","Few Marriages","High","Low Poverty","Medium"
"355","Mature Adult","Few Marriages","High","Low Poverty","Medium"
"356","Older Adult","High Marriages","High","Low Poverty","Medium"
"357","Older Adult","High Marriages","High","Low Poverty","Low"
"358","Adult","High Marriages","High","Low Poverty","Low"
"359","Older Adult","Median Marriages","Medium","Low Poverty","Medium"
"360","Mature Adult","Few Marriages","High","Low Poverty","Medium"
"361","Mature Adult","Few Marriages","High","High Poverty","Low"
"362","Older Adult","High Marriages","High","Low Poverty","Low"
"363","Older Adult","High Marriages","High","Low Poverty","Medium"
"364","Older Adult","Many Marriages","Medium","Low Poverty","Low"
"365","Mature Adult","High Marriages","High","Low Poverty","Low"
"366","Older Adult","Many Marriages","High","Low Poverty","Low"
"367","Older Adult","Many Marriages","Medium","Low Poverty","Medium"
"368","Mature Adult","Many Marriages","High","Low Poverty","Low"
"369","Mature Adult","Median Marriages","High","Low Poverty","Medium"
"370","Mature Adult","High Marriages","High","Low Poverty","Low"
"371","Mature Adult","High Marriages","High","Low Poverty","Low"
"372","Older Adult","High Marriages","High","Low Poverty","Low"
"373","Mature Adult","High Marriages","High","Low Poverty","Medium"
"374","Older Adult","High Marriages","High","Low Poverty","Medium"
"375","Mature Adult","High Marriages","High","Low Poverty","Low"
"376","Older Adult","Many Marriages","High","High Poverty","Medium"
"377","Mature Adult","Many Marriages","Medium","Low Poverty","Low"
"378","Older Adult","High Marriages","High","Low Poverty","Medium"
"379","Mature Adult","Many Marriages","Medium","Low Poverty","Low"
"380","Senior","High Marriages","Medium","Low Poverty","Low"
"381","Mature Adult","High Marriages","High","Low Poverty","Low"
"382","Senior","Many Marriages","Medium","Low Poverty","Medium"
"383","Mature Adult","Median Marriages","High","Low Poverty","Medium"
"384","Mature Adult","Low Marriages","High","Low Poverty","Medium"
"385","Mature Adult","Few Marriages","High","Low Poverty","Low"
"386","Older Adult","High Marriages","High","Low Poverty","Medium"
"387","Mature Adult","Median Marriages","High","Low Poverty","Low"
"388","Mature Adult","Many Marriages","Medium","Low Poverty","Medium"
"389","Mature Adult","Low Marriages","High","High Poverty","Medium"
"390","Mature Adult","Low Marriages","High","High Poverty","Low"
"391","Mature Adult","Few Marriages","High","High Poverty","Low"
"392","Mature Adult","Few Marriages","High","High Poverty","Medium"
"393","Older Adult","No Marriages","High","High Poverty","Medium"
"394","Mature Adult","Median Marriages","High","High Poverty","Low"
"395","Mature Adult","Low Marriages","Medium","Low Poverty","Medium"
"396","Mature Adult","Many Marriages","High","Low Poverty","Low"
"397","Mature Adult","Many Marriages","Medium","Low Poverty","Low"
"398","Mature Adult","Few Marriages","High","High Poverty","Low"
"399","Mature Adult","Few Marriages","Medium","High Poverty","Medium"
"400","Mature Adult","Many Marriages","High","High Poverty","Medium"
"401","Mature Adult","Few Marriages","High","Low Poverty","Medium"
"402","Mature Adult","Few Marriages","Low","Low Poverty","Medium"
"403","Mature Adult","Few Marriages","High","High Poverty","Medium"
"404","Adult","Median Marriages","High","Low Poverty","Low"
"405","Adult","Many Marriages","High","High Poverty","Low"
"406","Mature Adult","Low Marriages","High","Low Poverty","Low"
"407","Mature Adult","Low Marriages","High","Low Poverty","Low"
"408","Mature Adult","No Marriages","High","Low Poverty","Low"
"409","Adult","Median Marriages","High","Low Poverty","Low"
"410","Mature Adult","Few Marriages","High","Low Poverty","Medium"
"411","Mature Adult","Many Marriages","High","Low Poverty","Medium"
"412","Mature Adult","Many Marriages","Medium","Low Poverty","Medium"
"413","Mature Adult","Few Marriages","High","Low Poverty","Medium"
"414","Mature Adult","Many Marriages","High","Low Poverty","Low"
"415","Young","No Marriages","High","Low Poverty","Low"
"416","Mature Adult","Low Marriages","Medium","Low Poverty","Medium"
"417","Mature Adult","Many Marriages","Medium","Low Poverty","Low"
"418","Adult","Many Marriages","High","High Poverty","Low"
"419","Mature Adult","No Marriages","High","High Poverty","Medium"
"420","Adult","Many Marriages","High","Low Poverty","Low"
"421","Mature Adult","Few Marriages","High","High Poverty","Medium"
"422","Mature Adult","High Marriages","High","Low Poverty","Low"
"423","Mature Adult","Median Marriages","High","Low Poverty","Medium"
"424","Mature Adult","Median Marriages","High","High Poverty","Medium"
"425","Mature Adult","Many Marriages","High","Low Poverty","Low"
"426","Mature Adult","Few Marriages","High","High Poverty","Medium"
"427","Mature Adult","Many Marriages","High","Low Poverty","Low"
"428","Older Adult","Few Marriages","High","Low Poverty","Medium"
"429","Mature Adult","Low Marriages","High","High Poverty","Medium"
"430","Mature Adult","Few Marriages","Low","Low Poverty","Medium"
"431","Mature Adult","Median Marriages","Low","Low Poverty","Low"
"432","Mature Adult","Median Marriages","High","High Poverty","Medium"
"433","Mature Adult","High Marriages","High","Low Poverty","Low"
"434","Mature Adult","Few Marriages","High","High Poverty","Medium"
"435","Older Adult","Few Marriages","High","Low Poverty","Medium"
"436","Mature Adult","Many Marriages","High","High Poverty","Medium"
"437","Mature Adult","Many Marriages","High","Low Poverty","Low"
"438","Mature Adult","Few Marriages","High","High Poverty","Low"
"439","Adult","No Marriages","High","Low Poverty","Low"
"440","Mature Adult","Many Marriages","High","Low Poverty","Low"
"441","Mature Adult","Low Marriages","High","Low Poverty","Medium"
"442","Mature Adult","Low Marriages","High","High Poverty","Medium"
"443","Mature Adult","Few Marriages","High","High Poverty","Medium"
"444","Older Adult","Median Marriages","Low","Low Poverty","Medium"
"445","Mature Adult","Many Marriages","High","Low Poverty","Low"
"446","Mature Adult","Many Marriages","High","Low Poverty","Medium"
"447","Mature Adult","Many Marriages","High","Low Poverty","Low"
"448","Mature Adult","Low Marriages","Medium","Low Poverty","Medium"
"449","Mature Adult","High Marriages","High","Low Poverty","Low"
"450","Older Adult","Median Marriages","Medium","Low Poverty","Medium"
"451","Mature Adult","No Marriages","Medium","Low Poverty","Medium"
"452","Mature Adult","Many Marriages","High","Low Poverty","Low"
"453","Mature Adult","Median Marriages","Medium","Low Poverty","Low"
"454","Mature Adult","Median Marriages","High","Low Poverty","Medium"
"455","Older Adult","Low Marriages","High","Low Poverty","Low"
"456","Mature Adult","High Marriages","High","Low Poverty","Low"
"457","Mature Adult","Median Marriages","Medium","Low Poverty","Medium"
"458","Mature Adult","Many Marriages","High","Low Poverty","Low"
"459","Older Adult","Few Marriages","High","High Poverty","Medium"
"460","Mature Adult","Median Marriages","Low","Low Poverty","Medium"
"461","Mature Adult","Median Marriages","High","Low Poverty","Medium"
"462","Older Adult","Median Marriages","High","Low Poverty","Medium"
